id;text;sber;vtb;gazprom;alfabank;raiffeisen;rshb;company
8292;#novosti Сбербанк и ВТБ пообещали выполнить обязательства перед клиентами: Банки, попавшие под санкции Евросою...;1;1;NULL;NULL;NULL;NULL;NULL
10897;Корея может стать следующей Японией для инвесторов;NULL;NULL;NULL;NULL;NULL;NULL;NULL
3964;#Новые санкции затрагивают и Газпромбанк  #sledui;NULL;NULL;-1;NULL;NULL;NULL;NULL
11829;VEON заявила об обесценивании бизнеса в России на $449 млн в I квартале;NULL;NULL;NULL;NULL;NULL;NULL;-1
18814;банк втб ипотечный кредит;NULL;0;NULL;NULL;NULL;NULL;NULL
6466;Оформить кредит россельхозбанк;NULL;NULL;NULL;NULL;NULL;0;NULL
18100;Опять «порадовал» @sberbank Платёжка получена банком в 15:28 и так и не проведена. Ну никак не хотят работать!;-1;NULL;NULL;NULL;NULL;NULL;NULL
13214;Новости: WSJ: в список санкций ЕС будут включены Сбербанк и ВТБ;-1;-1;NULL;NULL;NULL;NULL;NULL
13467;В Сочи появятся банкоматы Сбербанка на китайском и французском языках;0;NULL;NULL;NULL;NULL;NULL;NULL
1220;Янукович пообещал выплатить 6 млрд гривен по вкладам в Сбербанке СССР;0;NULL;NULL;NULL;NULL;NULL;NULL
15708;Журнал Global Finance признал Сбербанк Онлайн лучшим розничным интернет-банком в России;1;NULL;NULL;NULL;NULL;NULL;NULL
7919;Донское вперед!) #сбербанквижн#донскоеотделение#донское#отделение#сбербанкроссии#сбербанк#россии;0;NULL;NULL;NULL;NULL;NULL;NULL
9079;VEON остановил смену юрисдикции с Бермудских Островов на Великобританию;NULL;NULL;NULL;NULL;NULL;NULL;-1
17554;Под санкции ЕС попали Сбербанк, ВТБ, ВЭБ, Газпромбанк и Россельхозбанк: Евросоюз включил в список санкций против России из-за политик...;-1;-1;-1;NULL;NULL;-1;NULL
14881;Как получить кредит втб 24 банке;NULL;0;NULL;NULL;NULL;NULL;NULL
19437;Крупнейшие российские банки Сбербанк и ВТБ попадают под санкции ЕС  #dknews;-1;-1;NULL;NULL;NULL;NULL;NULL
18196;"ГПБ и ""Мечел"" договорились о реструктуризации долга, часть задолженности компани";NULL;NULL;0;NULL;NULL;NULL;NULL
14333;Выдает ли кредиты сбербанк россии;0;NULL;NULL;NULL;NULL;NULL;NULL
9390;втб 24 ростов на дону кредиты;NULL;0;NULL;NULL;NULL;NULL;NULL
17819;В Луганске террористы ЛНР ограбили «Райффайзен банк Аваль» на несколько миллионов гривен;NULL;NULL;NULL;NULL;-1;NULL;NULL
19456;@nazymos  мы уже сегодня пошутили по этому поводу. Но все равно любим @sberbankkz );1;NULL;NULL;NULL;NULL;NULL;NULL
16135;альфа банк в южно сахалинске заказать кредитную карту;NULL;NULL;NULL;0;NULL;NULL;NULL
8474;банк втб 24 калькулятор потребительского кредита калькулятор;NULL;0;NULL;NULL;NULL;NULL;NULL
1392;RT @chenyukun: #втб 24 личный кабинет клиента;NULL;0;NULL;NULL;NULL;NULL;NULL
5920;На прошедшей неделе США расширили санкции в отношении России. К списку добавились Газпромбанк, Внешэкономбанк, "Роснефть" и НОВАТЭК.;NULL;NULL;-1;NULL;NULL;NULL;NULL
15979;СМИ сообщают о том, что в санкционный список ЕС будут включены Сбербанк и ВТБ;-1;-1;NULL;NULL;NULL;NULL;NULL
5549;Вот именно когда мне приспичило пойти в сбербанк восстанавливать потерянную карту, у них по всему городу сломалась система!!!;-1;NULL;NULL;NULL;NULL;NULL;NULL
5139;справка по форме банка сбербанк бланк распечатать;0;NULL;NULL;NULL;NULL;NULL;NULL
